Property_Index,SalePrice,Investment_Score,Risk_Score,ROI_Potential,Gross_Yield,Estimated_Rent,Recommendation,Recommendation_Reason
45,319900.0,66.2,0,30,9.6,2559.2000000000003,CONSIDER,Value-add opportunity with good potential
46,239686.0,72.2,0,45,9.6,1917.488,BUY,Solid investment with good risk-adjusted returns
47,249700.0,66.2,0,30,9.6,1997.6000000000001,CONSIDER,Value-add opportunity with good potential
48,113000.0,44.7,45,10,9.6,904.0,AVOID,High risk or poor return potential
49,127000.0,68.2,0,30,9.6,1016.0,CONSIDER,Value-add opportunity with good potential
50,177000.0,55.2,0,0,9.6,1416.0,HOLD,Monitor for better entry point
51,114500.0,50.2,30,10,9.6,916.0,HOLD,Monitor for better entry point
52,110000.0,58.2,0,10,9.6,880.0,HOLD,Monitor for better entry point
53,385000.0,54.2,0,0,9.6,3080.0,HOLD,Monitor for better entry point
54,130000.0,58.2,0,10,9.6,1040.0,HOLD,Monitor for better entry point
55,180500.0,58.2,0,10,9.6,1444.0,HOLD,Monitor for better entry point
56,172500.0,49.7,15,0,9.6,1380.0,AVOID,High risk or poor return potential
57,196500.0,66.2,0,30,9.6,1572.0,CONSIDER,Value-add opportunity with good potential
58,438780.0,72.2,0,45,9.600000000000001,3510.2400000000002,BUY,Solid investment with good risk-adjusted returns
59,124900.0,64.2,0,20,9.600000000000001,999.2,CONSIDER,Value-add opportunity with good potential
60,158000.0,66.2,0,30,9.6,1264.0,CONSIDER,Value-add opportunity with good potential
61,101000.0,59.2,30,30,9.6,808.0,HOLD,Monitor for better entry point
62,202500.0,66.2,0,30,9.6,1620.0,CONSIDER,Value-add opportunity with good potential
63,140000.0,50.2,30,10,9.6,1120.0,HOLD,Monitor for better entry point
64,219500.0,54.2,0,0,9.6,1756.0,HOLD,Monitor for better entry point
65,317000.0,66.2,0,30,9.6,2536.0,CONSIDER,Value-add opportunity with good potential
66,180000.0,54.2,0,0,9.6,1440.0,HOLD,Monitor for better entry point
67,226000.0,66.2,0,30,9.6,1808.0,CONSIDER,Value-add opportunity with good potential
68,80000.0,54.7,15,10,9.6,640.0,HOLD,Monitor for better entry point
69,225000.0,57.2,0,10,9.6,1800.0,HOLD,Monitor for better entry point
70,244000.0,55.2,0,0,9.6,1952.0,HOLD,Monitor for better entry point
71,129500.0,55.2,0,0,9.6,1036.0,HOLD,Monitor for better entry point
72,185000.0,54.2,0,0,9.6,1480.0,HOLD,Monitor for better entry point
73,144900.0,68.2,0,30,9.600000000000001,1159.2,CONSIDER,Value-add opportunity with good potential
74,107400.0,50.2,30,10,9.600000000000001,859.2,HOLD,Monitor for better entry point
75,91000.0,49.7,15,0,9.6,728.0,AVOID,High risk or poor return potential
76,135750.0,68.2,0,30,9.6,1086.0,CONSIDER,Value-add opportunity with good potential
77,127000.0,58.2,0,10,9.6,1016.0,HOLD,Monitor for better entry point
78,136500.0,58.2,0,10,9.6,1092.0,HOLD,Monitor for better entry point
79,110000.0,50.2,30,10,9.6,880.0,HOLD,Monitor for better entry point
80,193500.0,59.2,0,10,9.6,1548.0,HOLD,Monitor for better entry point
81,153500.0,49.7,15,0,9.6,1228.0,AVOID,High risk or poor return potential
82,245000.0,66.2,0,30,9.6,1960.0,CONSIDER,Value-add opportunity with good potential
83,126500.0,58.2,0,10,9.6,1012.0,HOLD,Monitor for better entry point
84,168500.0,54.2,0,0,9.6,1348.0,HOLD,Monitor for better entry point
85,260000.0,54.2,0,0,9.6,2080.0,HOLD,Monitor for better entry point
86,174000.0,66.2,0,30,9.6,1392.0,CONSIDER,Value-add opportunity with good potential
87,164500.0,61.7,15,30,9.6,1316.0,CONSIDER,Value-add opportunity with good potential
88,85000.0,32.7,75,10,9.6,680.0,AVOID,High risk or poor return potential
89,123600.0,54.2,0,0,9.6,988.8000000000001,HOLD,Monitor for better entry point
90,109900.0,58.2,0,10,9.600000000000001,879.2,HOLD,Monitor for better entry point
91,98600.0,48.7,25,10,9.6,788.8000000000001,AVOID,High risk or poor return potential
92,163500.0,59.2,30,30,9.6,1308.0,HOLD,Monitor for better entry point
93,133900.0,44.2,50,10,9.600000000000001,1071.2,AVOID,High risk or poor return potential
94,204750.0,54.2,0,0,9.6,1638.0,HOLD,Monitor for better entry point
95,185000.0,65.2,0,20,9.6,1480.0,CONSIDER,Value-add opportunity with good potential
96,214000.0,54.2,0,0,9.6,1712.0,HOLD,Monitor for better entry point
97,94750.0,58.2,0,10,9.6,758.0,HOLD,Monitor for better entry point
98,83000.0,49.2,30,10,9.6,664.0,AVOID,High risk or poor return potential
99,128950.0,58.2,0,10,9.6,1031.6,HOLD,Monitor for better entry point
100,205000.0,64.2,0,20,9.6,1640.0,CONSIDER,Value-add opportunity with good potential
101,178000.0,54.2,0,0,9.6,1424.0,HOLD,Monitor for better entry point
102,118964.0,54.2,0,0,9.6,951.712,HOLD,Monitor for better entry point
103,198900.0,66.2,0,30,9.6,1591.2,CONSIDER,Value-add opportunity with good potential
104,169500.0,48.2,30,10,9.6,1356.0,AVOID,High risk or poor return potential
105,250000.0,66.2,0,30,9.6,2000.0,CONSIDER,Value-add opportunity with good potential
106,100000.0,59.2,30,30,9.6,800.0,HOLD,Monitor for better entry point
107,115000.0,58.2,0,10,9.6,920.0,HOLD,Monitor for better entry point
108,115000.0,59.2,30,30,9.6,920.0,HOLD,Monitor for better entry point
109,190000.0,55.2,0,0,9.6,1520.0,HOLD,Monitor for better entry point
110,136900.0,57.2,0,10,9.600000000000001,1095.2,HOLD,Monitor for better entry point
111,180000.0,54.2,0,0,9.6,1440.0,HOLD,Monitor for better entry point
112,383970.0,66.2,0,30,9.6,3071.76,CONSIDER,Value-add opportunity with good potential
113,217000.0,58.2,0,10,9.6,1736.0,HOLD,Monitor for better entry point
114,259500.0,69.2,0,30,9.6,2076.0,CONSIDER,Value-add opportunity with good potential
115,176000.0,49.7,15,0,9.6,1408.0,AVOID,High risk or poor return potential
116,139000.0,58.2,0,10,9.6,1112.0,HOLD,Monitor for better entry point
117,155000.0,66.2,0,30,9.6,1240.0,CONSIDER,Value-add opportunity with good potential
118,320000.0,54.2,0,0,9.6,2560.0,HOLD,Monitor for better entry point
119,163990.0,66.2,0,30,9.6,1311.92,CONSIDER,Value-add opportunity with good potential
120,180000.0,64.2,0,25,9.6,1440.0,CONSIDER,Value-add opportunity with good potential
121,100000.0,49.2,30,10,9.6,800.0,AVOID,High risk or poor return potential
122,136000.0,68.2,0,30,9.6,1088.0,CONSIDER,Value-add opportunity with good potential
123,153900.0,54.2,0,0,9.600000000000001,1231.2,HOLD,Monitor for better entry point
124,181000.0,60.2,0,15,9.6,1448.0,CONSIDER,Value-add opportunity with good potential
125,84500.0,60.2,30,30,9.6,676.0,CONSIDER,Value-add opportunity with good potential
126,128000.0,49.7,15,0,9.6,1024.0,AVOID,High risk or poor return potential
127,87000.0,54.7,45,30,9.6,696.0,HOLD,Monitor for better entry point
128,155000.0,58.2,0,10,9.6,1240.0,HOLD,Monitor for better entry point
129,150000.0,68.2,0,30,9.6,1200.0,CONSIDER,Value-add opportunity with good potential
130,226000.0,59.2,0,10,9.6,1808.0,HOLD,Monitor for better entry point
131,244000.0,54.2,0,0,9.6,1952.0,HOLD,Monitor for better entry point
132,150750.0,59.2,0,10,9.6,1206.0,HOLD,Monitor for better entry point
133,220000.0,66.2,0,30,9.6,1760.0,CONSIDER,Value-add opportunity with good potential
134,180000.0,59.2,0,10,9.6,1440.0,HOLD,Monitor for better entry point
135,174000.0,55.2,0,0,9.6,1392.0,HOLD,Monitor for better entry point
136,143000.0,58.2,0,10,9.6,1144.0,HOLD,Monitor for better entry point
137,171000.0,54.2,0,0,9.6,1368.0,HOLD,Monitor for better entry point
138,230000.0,54.2,0,0,9.6,1840.0,HOLD,Monitor for better entry point
139,231500.0,54.2,0,0,9.6,1852.0,HOLD,Monitor for better entry point
140,115000.0,54.2,0,0,9.6,920.0,HOLD,Monitor for better entry point
141,260000.0,66.2,0,30,9.6,2080.0,CONSIDER,Value-add opportunity with good potential
142,166000.0,57.2,0,10,9.6,1328.0,HOLD,Monitor for better entry point
143,204000.0,54.2,0,0,9.6,1632.0,HOLD,Monitor for better entry point
144,125000.0,58.2,0,10,9.6,1000.0,HOLD,Monitor for better entry point
145,130000.0,61.7,15,30,9.6,1040.0,CONSIDER,Value-add opportunity with good potential
146,105000.0,59.2,30,30,9.6,840.0,HOLD,Monitor for better entry point
147,222500.0,72.2,0,45,9.6,1780.0,BUY,Solid investment with good risk-adjusted returns
148,141000.0,66.2,0,30,9.6,1128.0,CONSIDER,Value-add opportunity with good potential
149,115000.0,48.2,30,10,9.6,920.0,AVOID,High risk or poor return potential
150,122000.0,55.2,0,0,9.6,976.0,HOLD,Monitor for better entry point
151,372402.0,66.2,0,30,9.6,2979.216,CONSIDER,Value-add opportunity with good potential
152,190000.0,60.2,0,15,9.6,1520.0,CONSIDER,Value-add opportunity with good potential
153,235000.0,68.2,0,30,9.6,1880.0,CONSIDER,Value-add opportunity with good potential
154,125000.0,49.2,30,10,9.6,1000.0,AVOID,High risk or poor return potential
155,79000.0,49.2,30,10,9.6,632.0,AVOID,High risk or poor return potential
156,109500.0,68.2,0,30,9.6,876.0,CONSIDER,Value-add opportunity with good potential
157,269500.0,66.2,0,30,9.6,2156.0,CONSIDER,Value-add opportunity with good potential
158,254900.0,66.2,0,30,9.6,2039.2,CONSIDER,Value-add opportunity with good potential
159,320000.0,66.2,0,30,9.6,2560.0,CONSIDER,Value-add opportunity with good potential
160,162500.0,61.2,0,15,9.6,1300.0,CONSIDER,Value-add opportunity with good potential
161,412500.0,66.2,0,30,9.6,3300.0,CONSIDER,Value-add opportunity with good potential
162,220000.0,66.2,0,30,9.6,1760.0,CONSIDER,Value-add opportunity with good potential
163,103200.0,59.2,0,10,9.6,825.6,HOLD,Monitor for better entry point
164,152000.0,59.2,30,30,9.6,1216.0,HOLD,Monitor for better entry point
165,127500.0,68.2,0,30,9.6,1020.0,CONSIDER,Value-add opportunity with good potential
166,190000.0,58.2,0,10,9.6,1520.0,HOLD,Monitor for better entry point
167,325624.0,66.2,0,30,9.6,2604.992,CONSIDER,Value-add opportunity with good potential
168,183500.0,66.2,0,30,9.6,1468.0,CONSIDER,Value-add opportunity with good potential
169,228000.0,55.2,0,0,9.6,1824.0,HOLD,Monitor for better entry point
170,128500.0,59.2,0,10,9.6,1028.0,HOLD,Monitor for better entry point
171,215000.0,58.2,0,10,9.6,1720.0,HOLD,Monitor for better entry point
172,239000.0,64.2,0,20,9.6,1912.0,CONSIDER,Value-add opportunity with good potential
173,163000.0,58.2,0,10,9.6,1304.0,HOLD,Monitor for better entry point
174,184000.0,54.2,0,0,9.6,1472.0,HOLD,Monitor for better entry point
175,243000.0,68.2,0,30,9.6,1944.0,CONSIDER,Value-add opportunity with good potential
176,211000.0,54.2,0,0,9.6,1688.0,HOLD,Monitor for better entry point
177,172500.0,58.2,0,10,9.6,1380.0,HOLD,Monitor for better entry point
178,501837.0,72.2,0,45,9.6,4014.696,BUY,Solid investment with good risk-adjusted returns
179,100000.0,50.2,30,10,9.6,800.0,HOLD,Monitor for better entry point
180,177000.0,49.7,15,0,9.6,1416.0,AVOID,High risk or poor return potential
181,200100.0,50.2,30,10,9.6,1600.8,HOLD,Monitor for better entry point
182,120000.0,59.2,0,10,9.6,960.0,HOLD,Monitor for better entry point
183,200000.0,66.2,0,30,9.6,1600.0,CONSIDER,Value-add opportunity with good potential
184,127000.0,60.2,30,30,9.6,1016.0,CONSIDER,Value-add opportunity with good potential
185,475000.0,61.2,30,30,9.6,3800.0,CONSIDER,Value-add opportunity with good potential
186,173000.0,60.2,0,15,9.6,1384.0,CONSIDER,Value-add opportunity with good potential
187,135000.0,59.2,30,30,9.6,1080.0,HOLD,Monitor for better entry point
188,153337.0,54.2,0,0,9.6,1226.696,HOLD,Monitor for better entry point
189,286000.0,61.7,15,30,9.6,2288.0,CONSIDER,Value-add opportunity with good potential
190,315000.0,60.2,30,30,9.6,2520.0,CONSIDER,Value-add opportunity with good potential
191,184000.0,72.2,0,35,9.6,1472.0,BUY,Solid investment with good risk-adjusted returns
192,192000.0,54.2,0,0,9.6,1536.0,HOLD,Monitor for better entry point
193,130000.0,61.7,15,30,9.6,1040.0,CONSIDER,Value-add opportunity with good potential
194,127000.0,64.2,0,20,9.6,1016.0,CONSIDER,Value-add opportunity with good potential
195,148500.0,50.7,15,0,9.6,1188.0,HOLD,Monitor for better entry point
196,311872.0,66.2,0,30,9.6,2494.976,CONSIDER,Value-add opportunity with good potential
197,235000.0,48.2,30,10,9.6,1880.0,AVOID,High risk or poor return potential
198,104000.0,50.2,30,10,9.6,832.0,HOLD,Monitor for better entry point
199,274900.0,66.2,0,30,9.6,2199.2000000000003,CONSIDER,Value-add opportunity with good potential
200,140000.0,66.2,0,30,9.6,1120.0,CONSIDER,Value-add opportunity with good potential
201,171500.0,55.2,0,0,9.6,1372.0,HOLD,Monitor for better entry point
202,112000.0,50.2,30,10,9.6,896.0,HOLD,Monitor for better entry point
203,149000.0,61.7,15,30,9.6,1192.0,CONSIDER,Value-add opportunity with good potential
204,110000.0,63.7,15,30,9.6,880.0,CONSIDER,Value-add opportunity with good potential
205,180500.0,54.2,0,0,9.6,1444.0,HOLD,Monitor for better entry point
206,143900.0,64.2,0,25,9.600000000000001,1151.2,CONSIDER,Value-add opportunity with good potential
207,141000.0,58.2,0,10,9.6,1128.0,HOLD,Monitor for better entry point
208,277000.0,54.2,0,0,9.6,2216.0,HOLD,Monitor for better entry point
209,145000.0,68.2,0,30,9.6,1160.0,CONSIDER,Value-add opportunity with good potential
210,98000.0,50.2,30,10,9.6,784.0,HOLD,Monitor for better entry point
211,186000.0,66.2,0,30,9.6,1488.0,CONSIDER,Value-add opportunity with good potential
212,252678.0,66.2,0,30,9.6,2021.424,CONSIDER,Value-add opportunity with good potential
213,156000.0,60.2,0,15,9.6,1248.0,CONSIDER,Value-add opportunity with good potential
214,161750.0,64.2,0,20,9.6,1294.0,CONSIDER,Value-add opportunity with good potential
215,134450.0,59.2,0,10,9.6,1075.6,HOLD,Monitor for better entry point
216,210000.0,66.2,0,30,9.6,1680.0,CONSIDER,Value-add opportunity with good potential
217,107000.0,48.2,30,10,9.6,856.0,AVOID,High risk or poor return potential
218,311500.0,61.2,30,30,9.6,2492.0,CONSIDER,Value-add opportunity with good potential
219,167240.0,61.7,15,30,9.6,1337.92,CONSIDER,Value-add opportunity with good potential
220,204900.0,66.2,0,30,9.6,1639.2,CONSIDER,Value-add opportunity with good potential
221,200000.0,66.2,0,30,9.6,1600.0,CONSIDER,Value-add opportunity with good potential
222,179900.0,55.2,0,0,9.6,1439.2,HOLD,Monitor for better entry point
223,97000.0,55.2,0,0,9.6,776.0,HOLD,Monitor for better entry point
224,386250.0,66.2,0,30,9.6,3090.0,CONSIDER,Value-add opportunity with good potential
225,112000.0,49.7,15,0,9.6,896.0,AVOID,High risk or poor return potential
226,290000.0,54.2,0,0,9.6,2320.0,HOLD,Monitor for better entry point
227,106000.0,50.7,15,0,9.6,848.0,HOLD,Monitor for better entry point
228,125000.0,58.2,0,10,9.6,1000.0,HOLD,Monitor for better entry point
229,192500.0,61.7,15,30,9.6,1540.0,CONSIDER,Value-add opportunity with good potential
230,148000.0,59.2,0,10,9.6,1184.0,HOLD,Monitor for better entry point
231,403000.0,54.2,0,0,9.6,3224.0,HOLD,Monitor for better entry point
232,94500.0,49.7,15,0,9.6,756.0,AVOID,High risk or poor return potential
233,128200.0,55.2,0,0,9.6,1025.6,HOLD,Monitor for better entry point
234,216500.0,66.2,0,30,9.6,1732.0,CONSIDER,Value-add opportunity with good potential
235,89500.0,40.2,40,0,9.6,716.0,AVOID,High risk or poor return potential
236,185500.0,66.2,0,30,9.6,1484.0,CONSIDER,Value-add opportunity with good potential
237,194500.0,70.2,0,35,9.6,1556.0,BUY,Solid investment with good risk-adjusted returns
238,318000.0,66.2,0,30,9.6,2544.0,CONSIDER,Value-add opportunity with good potential
239,113000.0,57.2,0,10,9.6,904.0,HOLD,Monitor for better entry point
240,262500.0,66.2,0,30,9.6,2100.0,CONSIDER,Value-add opportunity with good potential
241,110500.0,65.7,15,30,9.6,884.0,CONSIDER,Value-add opportunity with good potential
242,79000.0,48.2,30,10,9.6,632.0,AVOID,High risk or poor return potential
243,120000.0,55.2,0,0,9.6,960.0,HOLD,Monitor for better entry point
244,205000.0,54.2,0,0,9.6,1640.0,HOLD,Monitor for better entry point
245,241500.0,54.2,0,0,9.6,1932.0,HOLD,Monitor for better entry point
246,137000.0,60.2,30,30,9.6,1096.0,CONSIDER,Value-add opportunity with good potential
247,140000.0,58.2,0,10,9.6,1120.0,HOLD,Monitor for better entry point
248,180000.0,66.2,0,30,9.6,1440.0,CONSIDER,Value-add opportunity with good potential
249,277000.0,74.2,0,45,9.6,2216.0,BUY,Solid investment with good risk-adjusted returns
250,76500.0,47.7,25,10,9.6,612.0,AVOID,High risk or poor return potential
251,235000.0,61.7,15,30,9.6,1880.0,CONSIDER,Value-add opportunity with good potential
252,173000.0,66.2,0,30,9.6,1384.0,CONSIDER,Value-add opportunity with good potential
253,158000.0,68.2,0,30,9.6,1264.0,CONSIDER,Value-add opportunity with good potential
254,145000.0,59.2,0,10,9.6,1160.0,HOLD,Monitor for better entry point
255,230000.0,54.2,0,0,9.6,1840.0,HOLD,Monitor for better entry point
256,207500.0,66.2,0,30,9.6,1660.0,CONSIDER,Value-add opportunity with good potential
257,220000.0,66.2,0,30,9.6,1760.0,CONSIDER,Value-add opportunity with good potential
258,231500.0,66.2,0,30,9.6,1852.0,CONSIDER,Value-add opportunity with good potential
259,97000.0,58.2,0,10,9.6,776.0,HOLD,Monitor for better entry point
260,176000.0,58.2,0,10,9.6,1408.0,HOLD,Monitor for better entry point
261,276000.0,66.2,0,30,9.6,2208.0,CONSIDER,Value-add opportunity with good potential
262,151000.0,64.2,0,20,9.6,1208.0,CONSIDER,Value-add opportunity with good potential
263,130000.0,59.2,30,30,9.6,1040.0,HOLD,Monitor for better entry point
264,73000.0,49.2,30,10,9.6,584.0,AVOID,High risk or poor return potential
265,175500.0,55.2,0,0,9.6,1404.0,HOLD,Monitor for better entry point
266,185000.0,54.2,0,0,9.6,1480.0,HOLD,Monitor for better entry point
267,179500.0,60.2,30,30,9.6,1436.0,CONSIDER,Value-add opportunity with good potential
268,120500.0,59.2,0,10,9.6,964.0,HOLD,Monitor for better entry point
269,148000.0,64.2,0,20,9.6,1184.0,CONSIDER,Value-add opportunity with good potential
270,266000.0,66.2,0,30,9.6,2128.0,CONSIDER,Value-add opportunity with good potential
271,241500.0,74.2,0,45,9.6,1932.0,BUY,Solid investment with good risk-adjusted returns
272,290000.0,70.2,0,35,9.6,2320.0,BUY,Solid investment with good risk-adjusted returns
273,139000.0,59.2,0,10,9.6,1112.0,HOLD,Monitor for better entry point
274,124500.0,64.2,0,20,9.6,996.0,CONSIDER,Value-add opportunity with good potential
275,205000.0,59.2,30,30,9.6,1640.0,HOLD,Monitor for better entry point
276,201000.0,66.2,0,30,9.6,1608.0,CONSIDER,Value-add opportunity with good potential
277,141000.0,58.2,0,10,9.6,1128.0,HOLD,Monitor for better entry point
278,415298.0,66.2,0,30,9.6,3322.384,CONSIDER,Value-add opportunity with good potential
279,192000.0,54.2,0,0,9.6,1536.0,HOLD,Monitor for better entry point
280,228500.0,55.2,0,0,9.6,1828.0,HOLD,Monitor for better entry point
281,185000.0,66.2,0,30,9.6,1480.0,CONSIDER,Value-add opportunity with good potential
282,207500.0,66.2,0,30,9.6,1660.0,CONSIDER,Value-add opportunity with good potential
283,244600.0,66.2,0,30,9.6,1956.8,CONSIDER,Value-add opportunity with good potential
284,179200.0,54.2,0,0,9.6,1433.6000000000001,HOLD,Monitor for better entry point
285,164700.0,61.7,15,30,9.6,1317.6000000000001,CONSIDER,Value-add opportunity with good potential
286,159000.0,68.2,0,30,9.6,1272.0,CONSIDER,Value-add opportunity with good potential
287,88000.0,53.2,0,0,9.6,704.0,HOLD,Monitor for better entry point
288,122000.0,58.2,0,10,9.6,976.0,HOLD,Monitor for better entry point
289,153575.0,59.2,30,30,9.6,1228.6000000000001,HOLD,Monitor for better entry point
290,233230.0,66.2,0,30,9.6,1865.8400000000001,CONSIDER,Value-add opportunity with good potential
291,135900.0,50.2,30,10,9.600000000000001,1087.2,HOLD,Monitor for better entry point
292,131000.0,57.2,0,10,9.6,1048.0,HOLD,Monitor for better entry point
293,235000.0,64.2,0,20,9.6,1880.0,CONSIDER,Value-add opportunity with good potential
294,167000.0,58.2,0,10,9.6,1336.0,HOLD,Monitor for better entry point
295,142500.0,61.2,0,15,9.6,1140.0,CONSIDER,Value-add opportunity with good potential
296,152000.0,58.2,0,10,9.6,1216.0,HOLD,Monitor for better entry point
297,239000.0,54.2,0,0,9.6,1912.0,HOLD,Monitor for better entry point
298,175000.0,59.2,0,10,9.6,1400.0,HOLD,Monitor for better entry point
299,158500.0,69.2,0,30,9.6,1268.0,CONSIDER,Value-add opportunity with good potential
300,157000.0,58.2,0,10,9.6,1256.0,HOLD,Monitor for better entry point
301,267000.0,54.2,0,0,9.6,2136.0,HOLD,Monitor for better entry point
302,205000.0,66.2,0,30,9.6,1640.0,CONSIDER,Value-add opportunity with good potential
303,149900.0,64.2,0,20,9.600000000000001,1199.2,CONSIDER,Value-add opportunity with good potential
304,295000.0,61.2,30,30,9.6,2360.0,CONSIDER,Value-add opportunity with good potential
305,305900.0,66.2,0,30,9.6,2447.2000000000003,CONSIDER,Value-add opportunity with good potential
306,225000.0,54.2,0,0,9.6,1800.0,HOLD,Monitor for better entry point
307,89500.0,59.2,30,30,9.6,716.0,HOLD,Monitor for better entry point
308,82500.0,58.2,0,10,9.6,660.0,HOLD,Monitor for better entry point
309,360000.0,66.2,0,30,9.6,2880.0,CONSIDER,Value-add opportunity with good potential
310,165600.0,54.2,0,0,9.6,1324.8,HOLD,Monitor for better entry point
311,132000.0,59.2,0,10,9.6,1056.0,HOLD,Monitor for better entry point
312,119900.0,59.2,30,30,9.600000000000001,959.2,HOLD,Monitor for better entry point
313,375000.0,58.2,0,10,9.6,3000.0,HOLD,Monitor for better entry point
314,178000.0,59.2,30,30,9.6,1424.0,HOLD,Monitor for better entry point
315,188500.0,66.2,0,30,9.6,1508.0,CONSIDER,Value-add opportunity with good potential
316,260000.0,64.2,0,20,9.6,2080.0,CONSIDER,Value-add opportunity with good potential
317,270000.0,66.2,0,30,9.6,2160.0,CONSIDER,Value-add opportunity with good potential
318,260000.0,54.2,0,0,9.6,2080.0,HOLD,Monitor for better entry point
319,187500.0,54.2,0,0,9.6,1500.0,HOLD,Monitor for better entry point
320,342643.0,66.2,0,30,9.6,2741.1440000000002,CONSIDER,Value-add opportunity with good potential
321,354000.0,66.2,0,30,9.6,2832.0,CONSIDER,Value-add opportunity with good potential
322,301000.0,54.2,0,0,9.6,2408.0,HOLD,Monitor for better entry point
323,126175.0,69.2,0,30,9.6,1009.4,CONSIDER,Value-add opportunity with good potential
324,242000.0,68.2,0,30,9.6,1936.0,CONSIDER,Value-add opportunity with good potential
325,87000.0,59.2,0,10,9.6,696.0,HOLD,Monitor for better entry point
326,324000.0,60.2,0,15,9.6,2592.0,CONSIDER,Value-add opportunity with good potential
327,145250.0,58.2,0,10,9.6,1162.0,HOLD,Monitor for better entry point
328,214500.0,50.2,30,10,9.6,1716.0,HOLD,Monitor for better entry point
329,78000.0,49.2,30,10,9.6,624.0,AVOID,High risk or poor return potential
330,119000.0,57.2,0,10,9.6,952.0,HOLD,Monitor for better entry point
331,139000.0,59.2,0,10,9.6,1112.0,HOLD,Monitor for better entry point
332,284000.0,66.2,0,30,9.6,2272.0,CONSIDER,Value-add opportunity with good potential
333,207000.0,66.2,0,30,9.6,1656.0,CONSIDER,Value-add opportunity with good potential
