MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice,TotalBsmtSF_bin,YearBuilt_bin,YearRemodAdd_bin,LotArea_bin,BsmtFinSF2_bin,Decade,PropertyAge,AgeGroup,LogSalePrice,IsRenovated,IsCulDeSac
20,RL,8544,CulDSac,1Fam,6,1966,2006,HdBoard,0.0,1228.0,149350.0,High,Medium,Very High,Low,Very Low,1960,54,Mature (50-100),11.914054519303125,1,1
20,RL,11049,Corner,1Fam,5,2007,2007,VinylSd,0.0,1234.0,179900.0,High,Very High,Very High,High,Very Low,2000,13,Recent (10-20),12.100161978566867,0,0
20,RL,10552,Inside,1Fam,5,1959,1959,BrkFace,0.0,1398.0,165500.0,Very High,Low,Very Low,High,Very Low,1950,61,Mature (50-100),12.016732516077072,0,0
120,RL,7313,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1561.0,277500.0,Very High,Very High,High,Low,Very Low,2000,15,Recent (10-20),12.533579815765737,0,0
60,RL,13418,Inside,1Fam,5,2004,2005,VinylSd,0.0,1117.0,309000.0,High,Very High,High,Very High,Very Low,2000,16,Recent (10-20),12.6410997921206,1,0
20,RL,10859,Corner,1Fam,5,1994,1995,VinylSd,0.0,1097.0,145000.0,High,High,Medium,High,Very Low,1990,26,Established (20-50),11.884495917930655,1,0
20,RL,8532,Inside,1Fam,6,1954,1990,Wd Sdng,0.0,1297.0,153000.0,High,Low,Medium,Low,Very Low,1950,66,Mature (50-100),11.938199736300925,1,0
20,RL,7922,Inside,1Fam,7,1953,2007,VinylSd,0.0,1057.0,109000.0,Medium,Low,Very High,Low,Very Low,1950,67,Mature (50-100),11.599112335481124,1,0
90,RL,6040,Inside,Duplex,5,1955,1955,AsbShng,0.0,0.0,82000.0,Very Low,Low,Very Low,Very Low,Very Low,1950,65,Mature (50-100),11.314486721293981,0,0
20,RL,8658,Inside,1Fam,5,1965,1965,Wd Sdng,0.0,1088.0,160000.0,Medium,Low,Low,Low,Very Low,1960,55,Mature (50-100),11.982935344196433,0,0
20,RL,16905,Inside,1Fam,6,1959,1959,VinylSd,0.0,1350.0,170000.0,High,Low,Very Low,Very High,Very Low,1950,61,Mature (50-100),12.04355959836804,0,0
85,RL,9180,CulDSac,1Fam,7,1983,1983,HdBoard,93.0,840.0,144000.0,Low,Medium,Medium,Medium,Very Low,1980,37,Established (20-50),11.87757552297847,0,1
20,RL,9200,CulDSac,1Fam,6,1975,1980,VinylSd,491.0,938.0,130250.0,Medium,Medium,Low,Medium,Very Low,1970,45,Established (20-50),11.777218637129327,1,1
20,RL,7945,Inside,1Fam,6,1959,1959,BrkFace,506.0,1150.0,141000.0,High,Low,Very Low,Low,Very Low,1950,61,Mature (50-100),11.856522261533737,0,0
120,RL,7658,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1752.0,319900.0,Very High,Very High,High,Low,Very Low,2000,15,Recent (10-20),12.675766851909591,0,0
50,RL,12822,CulDSac,1Fam,5,2003,2003,VinylSd,0.0,1434.0,239686.0,Very High,High,High,Very High,Very Low,2000,17,Recent (10-20),12.387089184491993,0,1
20,FV,11096,Inside,1Fam,5,2006,2006,VinylSd,0.0,1656.0,249700.0,Very High,Very High,Very High,High,Very Low,2000,14,Recent (10-20),12.428019481065613,0,0
190,RM,4456,Inside,2fmCon,5,1920,2008,MetalSd,0.0,736.0,113000.0,Very Low,Very Low,Very High,Very Low,Very Low,1920,100,Mature (50-100),11.635151947212842,1,0
20,RL,7742,Inside,1Fam,7,1966,1966,HdBoard,0.0,955.0,127000.0,Medium,Medium,Low,Low,Very Low,1960,54,Mature (50-100),11.751950239425476,0,0
60,RL,13869,Corner,1Fam,6,1997,1997,VinylSd,0.0,794.0,177000.0,Low,High,Medium,Very High,Very Low,1990,23,Established (20-50),12.083910661257521,0,0
50,RM,6240,Inside,1Fam,6,1934,1950,Wd Sdng,0.0,816.0,114500.0,Low,Very Low,Very Low,Very Low,Very Low,1930,86,Mature (50-100),11.648338835562747,1,0
90,RM,8472,Corner,Duplex,5,1963,1963,Wd Sdng,712.0,816.0,110000.0,Low,Low,Low,Low,Very Low,1960,57,Mature (50-100),11.608244735642321,0,0
20,RL,50271,Inside,1Fam,5,1981,1987,WdShing,0.0,1842.0,385000.0,Very High,Medium,Medium,Very High,Very Low,1980,39,Established (20-50),12.861001210669146,1,0
80,RL,7134,Inside,1Fam,5,1955,1955,MetalSd,0.0,384.0,130000.0,Very Low,Low,Very Low,Low,Very Low,1950,65,Mature (50-100),11.775297421715827,0,0
20,RL,10175,Inside,1Fam,5,1964,1964,HdBoard,0.0,1425.0,180500.0,Very High,Low,Low,Medium,Very Low,1960,56,Mature (50-100),12.103491596905931,0,0
160,FV,2645,Inside,Twnhs,5,1999,2000,MetalSd,0.0,970.0,172500.0,Medium,High,High,Very Low,Very Low,1990,21,Established (20-50),12.058158312538197,1,0
60,RL,11645,Corner,1Fam,5,2004,2004,VinylSd,0.0,860.0,196500.0,Low,Very High,High,High,Very Low,2000,16,Recent (10-20),12.188422799337028,0,0
60,RL,13682,CulDSac,1Fam,5,2006,2006,VinylSd,0.0,1410.0,438780.0,Very High,Very High,Very High,Very High,Very Low,2000,14,Recent (10-20),12.991755706536901,0,1
20,RL,7200,Inside,1Fam,7,1972,1972,HdBoard,0.0,780.0,124900.0,Low,Medium,Low,Low,Very Low,1970,48,Established (20-50),11.735276702486741,0,0
20,RL,13072,Inside,1Fam,5,2004,2004,VinylSd,0.0,1158.0,158000.0,High,Very High,High,Very High,Very Low,2000,16,Recent (10-20),11.970356641102999,0,0
75,RM,7200,Inside,1Fam,7,1920,1996,MetalSd,0.0,530.0,101000.0,Very Low,Very Low,Medium,Low,Very Low,1920,100,Mature (50-100),11.522885696764481,1,0
120,RL,6442,Inside,TwnhsE,5,2006,2006,VinylSd,0.0,1370.0,202500.0,High,Very High,Very High,Very Low,Very Low,2000,14,Recent (10-20),12.218500103788143,0,0
70,RM,10300,Inside,1Fam,6,1921,1950,Stucco,0.0,576.0,140000.0,Very Low,Very Low,Very Low,High,Very Low,1920,99,Mature (50-100),11.849404844423074,1,0
60,RL,9375,Inside,1Fam,5,1997,1998,VinylSd,0.0,1057.0,219500.0,Medium,High,Medium,Medium,Very Low,1990,23,Established (20-50),12.299112067295642,1,0
60,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0.0,1143.0,317000.0,High,Very High,High,Medium,Very Low,2000,16,Recent (10-20),12.666660207428574,1,0
20,RL,19900,Inside,1Fam,5,1970,1989,Plywood,0.0,1947.0,180000.0,Very High,Medium,Medium,Very High,Very Low,1970,50,Established (20-50),12.100717685412471,1,0
20,RL,10665,Inside,1Fam,5,2003,2003,VinylSd,0.0,1453.0,226000.0,Very High,High,High,High,Very Low,2000,17,Recent (10-20),12.328294703023394,0,0
30,RM,4608,Corner,1Fam,6,1945,1950,MetalSd,0.0,747.0,80000.0,Very Low,Very Low,Very Low,Very Low,Very Low,1940,75,Mature (50-100),11.289794413577894,1,0
50,RL,15593,Corner,1Fam,4,1953,1953,BrkFace,0.0,1304.0,225000.0,High,Low,Very Low,Very High,Very Low,1950,67,Mature (50-100),12.323860125621126,0,0
20,RL,13651,Inside,1Fam,6,1973,1973,Plywood,0.0,2223.0,244000.0,Very High,Medium,Low,Very High,Very Low,1970,47,Established (20-50),12.404927602627597,0,0
20,RL,7599,Corner,1Fam,6,1982,2006,HdBoard,0.0,845.0,129500.0,Low,Medium,Very High,Low,Very Low,1980,38,Established (20-50),11.771443882099637,1,0
60,RL,10141,Corner,1Fam,5,1998,1998,VinylSd,0.0,832.0,185000.0,Low,High,Medium,Medium,Very Low,1990,22,Established (20-50),12.128116509451258,0,0
20,RL,10200,Inside,1Fam,7,1954,2003,Wd Sdng,362.0,1086.0,144900.0,Medium,Low,High,High,Very Low,1950,66,Mature (50-100),11.88380602959621,1,0
50,RM,5790,Corner,1Fam,6,1915,1950,VinylSd,0.0,840.0,107400.0,Low,Very Low,Very Low,Very Low,Very Low,1910,105,Historic (100+),11.58432477200052,1,0
180,RM,1596,Inside,Twnhs,5,1973,1973,CemntBd,0.0,462.0,91000.0,Very Low,Medium,Low,Very Low,Very Low,1970,47,Established (20-50),11.418625774449598,0,0
20,RL,8475,Inside,1Fam,7,1956,1956,VinylSd,0.0,952.0,135750.0,Medium,Low,Very Low,Low,Very Low,1950,64,Mature (50-100),11.818577604251555,0,0
50,RM,8635,Inside,1Fam,5,1948,2001,Wd Sdng,41.0,672.0,127000.0,Very Low,Low,High,Low,Very Low,1940,72,Mature (50-100),11.751950239425476,1,0
90,RL,10778,Inside,Duplex,5,1968,1968,HdBoard,0.0,1768.0,136500.0,Very High,Medium,Low,High,Very Low,1960,52,Mature (50-100),11.824087219587643,0,0
50,RM,10440,Corner,1Fam,6,1910,1981,Wd Sdng,0.0,440.0,110000.0,Very Low,Very Low,Medium,High,Very Low,1910,110,Historic (100+),11.608244735642321,1,0
60,RL,13000,Corner,1Fam,6,1968,1968,VinylSd,0.0,896.0,193500.0,Low,Medium,Low,Very High,Very Low,1960,52,Mature (50-100),12.173037959397275,0,0
120,RM,4500,FR2,TwnhsE,5,1998,1998,VinylSd,0.0,1237.0,153500.0,High,High,Medium,Very Low,Very Low,1990,22,Established (20-50),11.941462360646149,0,0
20,RL,10206,Inside,1Fam,5,2007,2007,VinylSd,0.0,1563.0,245000.0,Very High,Very High,Very High,High,Very Low,2000,13,Recent (10-20),12.409017571151187,0,0
20,RL,8892,Inside,1Fam,5,1960,1960,MetalSd,0.0,1065.0,126500.0,Medium,Low,Very Low,Medium,Very Low,1960,60,Mature (50-100),11.748005492256807,0,0
80,RL,8530,Inside,1Fam,5,1995,1996,HdBoard,0.0,384.0,168500.0,Very Low,High,Medium,Low,Very Low,1990,25,Established (20-50),12.034696963475044,1,0
60,RL,16059,Corner,1Fam,5,1991,1992,HdBoard,0.0,1288.0,260000.0,High,High,Medium,Very High,Very Low,1990,29,Established (20-50),12.468440756144114,1,0
60,RL,11911,Inside,1Fam,5,2005,2005,VinylSd,0.0,684.0,174000.0,Very Low,Very High,High,High,Very Low,2000,15,Recent (10-20),12.066816325306588,0,0
160,FV,3951,Corner,TwnhsE,5,2009,2009,VinylSd,0.0,612.0,164500.0,Very Low,Very High,Very High,Very Low,Very Low,2000,11,Recent (10-20),12.010671928196443,0,0
50,C (all),8470,Corner,1Fam,2,1915,1982,Plywood,0.0,1013.0,85000.0,Medium,Very Low,Medium,Low,Very Low,1910,105,Historic (100+),11.350418300109132,1,0
20,RL,8070,Inside,1Fam,5,1994,1995,VinylSd,0.0,990.0,123600.0,Medium,High,Medium,Low,Very Low,1990,26,Established (20-50),11.724813914587886,1,0
20,RL,7200,Inside,1Fam,5,1950,1950,BrkFace,0.0,0.0,109900.0,Very Low,Low,Very Low,Low,Very Low,1950,70,Mature (50-100),11.60733523953139,0,0
20,RL,8500,Inside,1Fam,3,1961,1961,HdBoard,0.0,1235.0,98600.0,High,Low,Very Low,Low,Very Low,1960,59,Mature (50-100),11.498836682527127,0,0
30,RL,13360,Inside,1Fam,7,1921,2006,Wd Sdng,0.0,876.0,163500.0,Low,Very Low,Very High,Very High,Very Low,1920,99,Mature (50-100),12.004574385508691,1,0
190,C (all),7200,Corner,2fmCon,6,1910,1998,MetalSd,0.0,1214.0,133900.0,High,Very Low,Medium,Low,Very Low,1910,110,Historic (100+),11.804855999911272,1,0
60,RL,9337,Inside,1Fam,5,1997,1997,VinylSd,0.0,824.0,204750.0,Low,High,Medium,Medium,Very Low,1990,23,Established (20-50),12.229549885708273,0,0
60,RL,9765,Corner,1Fam,8,1993,1993,VinylSd,0.0,680.0,185000.0,Very Low,High,Medium,Medium,Very Low,1990,27,Established (20-50),12.128116509451258,0,0
20,RL,10264,Inside,1Fam,5,1999,1999,VinylSd,0.0,1588.0,214000.0,Very High,High,High,High,Very Low,1990,21,Established (20-50),12.273735966890268,0,0
20,RL,10921,Inside,1Fam,5,1965,1965,HdBoard,0.0,960.0,94750.0,Medium,Low,Low,High,Very Low,1960,55,Mature (50-100),11.459007676978688,0,0
30,RL,10625,Corner,1Fam,5,1920,1950,Wd Sdng,0.0,458.0,83000.0,Very Low,Very Low,Very Low,High,Very Low,1920,100,Mature (50-100),11.326607934898927,1,0
20,RL,9320,Inside,1Fam,5,1959,1959,Plywood,0.0,950.0,128950.0,Medium,Low,Very Low,Medium,Very Low,1950,61,Mature (50-100),11.767187766223199,0,0
20,RL,10603,Inside,1Fam,7,1977,2001,Plywood,0.0,1610.0,205000.0,Very High,Medium,High,High,Very Low,1970,43,Established (20-50),12.230770136157428,1,0
60,RL,9206,Inside,1Fam,5,1985,1985,HdBoard,0.0,741.0,178000.0,Very Low,High,Medium,Medium,Very Low,1980,35,Established (20-50),12.08954444723597,0,0
90,RL,7018,Inside,Duplex,5,1979,1979,HdBoard,0.0,0.0,118964.0,Very Low,Medium,Low,Very Low,Very Low,1970,41,Established (20-50),11.68658461118553,0,0
20,RL,10402,Corner,1Fam,5,2009,2009,VinylSd,0.0,1226.0,198900.0,High,Very High,Very High,High,Very Low,2000,11,Recent (10-20),12.200562492481511,0,0
50,RM,7758,Corner,1Fam,4,1931,1950,Stucco,0.0,1040.0,169500.0,Medium,Very Low,Very Low,Low,Very Low,1930,89,Mature (50-100),12.040614105490253,1,0
60,FV,9375,Inside,1Fam,5,2003,2004,VinylSd,0.0,1053.0,250000.0,Medium,High,High,Medium,Very Low,2000,17,Recent (10-20),12.429220196836383,1,0
30,RM,10800,Inside,1Fam,7,1885,1995,VinylSd,0.0,641.0,100000.0,Very Low,Very Low,Medium,High,Very Low,1880,135,Historic (100+),11.51293546492023,1,0
20,RM,6000,Inside,1Fam,5,1948,1950,VinylSd,169.0,789.0,115000.0,Low,Low,Very Low,Very Low,Very Low,1940,72,Mature (50-100),11.652696102959753,1,0
50,RM,8500,Corner,1Fam,7,1919,2005,CemntBd,0.0,793.0,115000.0,Low,Very Low,High,Low,Very Low,1910,101,Historic (100+),11.652696102959753,1,0
20,RL,11751,Inside,1Fam,6,1977,1977,Plywood,0.0,1844.0,190000.0,Very High,Medium,Low,High,Very Low,1970,43,Established (20-50),12.154784614286667,0,0
50,RL,9525,Inside,1Fam,4,1954,1972,Wd Sdng,0.0,994.0,136900.0,Medium,Low,Low,Medium,Very Low,1950,66,Mature (50-100),11.827013315851762,1,0
80,RL,7750,Inside,1Fam,5,2000,2000,VinylSd,0.0,384.0,180000.0,Very Low,High,High,Low,Very Low,2000,20,Recent (10-20),12.100717685412471,0,0
60,RL,9965,Inside,1Fam,5,2007,2007,VinylSd,0.0,1264.0,383970.0,High,Very High,Very High,Medium,Very Low,2000,13,Recent (10-20),12.85832230788469,0,0
20,RL,21000,Corner,1Fam,5,1953,1953,Wd Sdng,869.0,1809.0,217000.0,Very High,Low,Very Low,Very High,Very Low,1950,67,Mature (50-100),12.28765724080691,0,0
70,RL,7259,Inside,1Fam,8,1945,2002,Wd Sdng,150.0,1028.0,259500.0,Medium,Very Low,High,Low,Very Low,1940,75,Mature (50-100),12.466515835145202,1,0
160,FV,3230,Corner,TwnhsE,5,1999,1999,MetalSd,0.0,729.0,176000.0,Very Low,High,High,Very Low,Very Low,1990,21,Established (20-50),12.07824495582233,0,0
20,RL,11616,Inside,1Fam,5,1962,1962,Wd Sdng,670.0,1092.0,139000.0,High,Low,Low,High,Very Low,1960,58,Mature (50-100),11.842236406331555,0,0
20,RL,8536,Corner,1Fam,5,2006,2007,VinylSd,0.0,1125.0,155000.0,High,Very High,Very High,Low,Very Low,2000,14,Recent (10-20),11.951186847493476,1,0
60,RL,12376,Corner,1Fam,5,1990,1990,Plywood,0.0,1673.0,320000.0,Very High,High,Medium,Very High,Very Low,1990,30,Established (20-50),12.676079399771027,0,0
60,RL,8461,Inside,1Fam,5,2005,2006,VinylSd,0.0,728.0,163990.0,Very Low,Very High,Very High,Low,Very Low,2000,15,Recent (10-20),12.0075668272517,1,0
80,RL,21453,CulDSac,1Fam,5,1969,1969,Plywood,0.0,938.0,180000.0,Medium,Medium,Low,Very High,Very Low,1960,51,Mature (50-100),12.100717685412471,0,1
50,RM,6060,Inside,1Fam,5,1939,1950,AsbShng,0.0,732.0,100000.0,Very Low,Very Low,Very Low,Very Low,Very Low,1930,81,Mature (50-100),11.51293546492023,1,0
20,RL,9464,Corner,1Fam,7,1958,1958,MetalSd,0.0,1080.0,136000.0,Medium,Low,Very Low,Medium,Very Low,1950,62,Mature (50-100),11.820417517632333,0,0
120,RL,7892,Inside,TwnhsE,5,1993,1993,Plywood,0.0,1199.0,153900.0,High,High,Medium,Low,Very Low,1990,27,Established (20-50),11.944064817531656,0,0
20,RL,17043,CulDSac,1Fam,5,1979,1998,HdBoard,0.0,1362.0,181000.0,High,Medium,Medium,Very High,Very Low,1970,41,Established (20-50),12.10625783509458,1,1
190,RM,6780,Inside,2fmCon,8,1935,1982,Wd Sdng,0.0,520.0,84500.0,Very Low,Very Low,Medium,Very Low,Very Low,1930,85,Mature (50-100),11.344518647594766,1,0
120,RL,4928,Inside,TwnhsE,5,1976,1976,Plywood,0.0,1078.0,128000.0,Medium,Medium,Low,Very Low,Very Low,1970,44,Established (20-50),11.759793355371237,0,0
45,RM,4388,Inside,1Fam,7,1930,1950,WdShing,0.0,672.0,87000.0,Very Low,Very Low,Very Low,Very Low,Very Low,1930,90,Mature (50-100),11.373674891823535,1,0
60,RL,7590,Inside,1Fam,5,1966,1966,VinylSd,0.0,660.0,155000.0,Very Low,Medium,Low,Low,Very Low,1960,54,Mature (50-100),11.951186847493476,0,0
20,RL,8973,Inside,1Fam,7,1958,1991,Plywood,28.0,1008.0,150000.0,Medium,Low,Medium,Medium,Very Low,1950,62,Mature (50-100),11.918397239722838,1,0
60,RL,14200,Corner,1Fam,6,1966,1966,MetalSd,0.0,924.0,226000.0,Medium,Medium,Low,Very High,Very Low,1960,54,Mature (50-100),12.328294703023394,0,0
60,RL,12224,Corner,1Fam,5,2000,2000,VinylSd,0.0,992.0,244000.0,Medium,High,High,Very High,Very Low,2000,20,Recent (10-20),12.404927602627597,0,0
20,RL,7388,Corner,1Fam,6,1959,2002,MetalSd,0.0,1063.0,150750.0,Medium,Low,High,Low,Very Low,1950,61,Mature (50-100),11.923384748066601,1,0
20,RL,6853,Inside,1Fam,5,2001,2002,VinylSd,0.0,1267.0,220000.0,High,High,High,Very Low,Very Low,2000,19,Recent (10-20),12.301387370778713,1,0
20,RL,10335,Inside,1Fam,6,1968,1993,Plywood,0.0,1461.0,180000.0,Very High,Medium,Medium,High,Very Low,1960,52,Mature (50-100),12.100717685412471,1,0
20,RL,10400,Inside,1Fam,6,1970,1970,Plywood,0.0,1304.0,174000.0,High,Medium,Low,High,Very Low,1970,50,Established (20-50),12.066816325306588,0,0
20,RL,10355,Corner,1Fam,5,1967,1967,MetalSd,0.0,1214.0,143000.0,High,Medium,Low,High,Very Low,1960,53,Mature (50-100),11.870606902224587,0,0
90,RL,11070,Inside,Duplex,5,1988,1989,VinylSd,0.0,1907.0,171000.0,Very High,High,Medium,High,Very Low,1980,32,Established (20-50),12.049424683420915,1,0
60,RL,9066,Inside,1Fam,5,1999,2000,VinylSd,0.0,1004.0,230000.0,Medium,High,High,Medium,Very Low,1990,21,Established (20-50),12.345838935721968,1,0
60,RL,15426,Inside,1Fam,5,1997,1997,VinylSd,0.0,928.0,231500.0,Medium,High,Medium,Very High,Very Low,1990,23,Established (20-50),12.352339472153524,0,0
20,RL,10500,FR2,1Fam,5,1971,1971,HdBoard,0.0,864.0,115000.0,Low,Medium,Low,High,Very Low,1970,49,Established (20-50),11.652696102959753,0,0
20,RL,11645,Inside,1Fam,5,2005,2005,VinylSd,0.0,1734.0,260000.0,Very High,Very High,High,High,Very Low,2000,15,Recent (10-20),12.468440756144114,0,0
50,RL,8520,Corner,1Fam,4,1952,1952,BrkFace,0.0,910.0,166000.0,Low,Low,Very Low,Low,Very Low,1950,68,Mature (50-100),12.019749091416921,0,0
20,RL,10335,Inside,1Fam,5,1999,1999,VinylSd,0.0,1490.0,204000.0,Very High,High,High,High,Very Low,1990,21,Established (20-50),12.225880174775122,0,0
90,RM,9100,Inside,Duplex,5,1963,1963,HdBoard,0.0,1728.0,125000.0,Very High,Low,Low,Medium,Very Low,1960,57,Mature (50-100),11.736077016252437,0,0
160,RM,2522,Inside,Twnhs,5,2004,2006,VinylSd,0.0,970.0,130000.0,Medium,Very High,Very High,Very Low,Very Low,2000,16,Recent (10-20),11.775297421715827,1,0
30,RM,6120,Corner,1Fam,7,1931,1993,Wd Sdng,0.0,715.0,105000.0,Very Low,Very Low,Medium,Very Low,Very Low,1930,89,Mature (50-100),11.561725152903833,1,0
60,RL,9505,CulDSac,1Fam,5,2001,2001,VinylSd,0.0,884.0,222500.0,Low,High,High,Medium,Very Low,2000,19,Recent (10-20),12.312686874960354,0,1
20,RL,7500,Inside,1Fam,5,2004,2005,VinylSd,0.0,1080.0,141000.0,Medium,Very High,High,Low,Very Low,2000,16,Recent (10-20),11.856522261533737,1,0
50,RM,6240,Inside,1Fam,4,1936,1950,MetalSd,0.0,896.0,115000.0,Low,Very Low,Very Low,Very Low,Very Low,1930,84,Mature (50-100),11.652696102959753,1,0
20,RL,10356,Corner,1Fam,6,1975,1975,HdBoard,0.0,969.0,122000.0,Medium,Medium,Low,High,Very Low,1970,45,Established (20-50),11.711784520403112,0,0
20,RL,13891,Inside,1Fam,5,2007,2008,VinylSd,0.0,1710.0,372402.0,Very High,Very High,Very High,Very High,Very Low,2000,13,Recent (10-20),12.827731880206521,1,0
60,RL,14803,CulDSac,1Fam,5,1971,1971,HdBoard,0.0,825.0,190000.0,Low,Medium,Low,Very High,Very Low,1970,49,Established (20-50),12.154784614286667,0,1
